Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST (Rp./kWH),Netznutzung (Rp./kWH),Energielieferungkosten (Rp./kWH),Abgaben an das Gemeinwesen (Rp./kWH),Förderabgaben (KEV) (Rp./kWH)
Zug,C7,2018,Günstigstes Produkt,14.0200555181663,5.91768489191134,5.56737062625496,0.235,2.3
Bern,H7,2025,Günstigstes Produkt,23.76776923076923,10.36423076923077,9.603538461538461,1.069615,2.3
Graubünden,C2,2019,Günstigstes Produkt,18.78,7.32,7.9,0.95,2.3
Bern,C2,2025,Günstigstes Produkt,24.21,11.26,9.65,1,2.3
Wallis,H8,2025,Günstigstes Produkt,26.87,8.05,15.58,0.94,2.3
Uri,H3,2022,Günstigstes Produkt,19.45644444444444,10.08777777777778,6.068666666666667,1,2.3
Jura,C7,2024,Günstigstes Produkt,20.01301477688889,7.212938794666667,10.49607598222222,0.004,2.3
Uri,C7,2023,Günstigstes Produkt,19.44443836222222,4.025444842222222,12.81899352,0.3,2.3
Jura,C2,2024,Günstigstes Produkt,25.88,12.43,10.15,1,2.3
Appenzell Ausserrhoden,C6,2019,Günstigstes Produkt,13.19375888888889,5.43274444444445,5.46101444444444,0,2.3
Uri,H3,2018,Günstigstes Produkt,20.58133333333336,10.0977777777778,7.18355555555556,1,2.3
Thurgau,H8,2025,Günstigstes Produkt,27.13795555555556,10.66021031746032,14.82,0.2,2.3
Basel-Landschaft,H3,2024,Günstigstes Produkt,29.98380952380952,15.22214285714286,12.12166666666667,0.34,2.3
Jura,C2,2022,Günstigstes Produkt,20.81,9.16,8.35,1,2.3
Basel-Landschaft,H3,2019,Günstigstes Produkt,19.37390476190476,8.7297619047619,7.64414285714286,0.7,2.3
Graubünden,C7,2019,Günstigstes Produkt,17.60894946866622,5.60894946866622,7.7,2,2.3
Schaffhausen,C7,2023,Günstigstes Produkt,16.28720736755556,5.252517389777778,8.734689977777778,0,2.3
Luzern,H8,2024,Günstigstes Produkt,29.53128,11.24484444444444,14.98195555555556,1.00448,2.3
Zug,H7,2020,Günstigstes Produkt,16.25679120879121,6.92602197802198,7.03076923076923,0,2.3
St. Gallen,C7,2020,Günstigstes Produkt,13.46910894964782,4.31830145393243,6.33389728663583,0.2,2.3
St. Gallen,H7,2020,Günstigstes Produkt,16.36234203296703,6.23320783209363,6.99822802197802,0.6,2.3
Wallis,H8,2018,Günstigstes Produkt,14.22,6.82,5.5,0.68,2.3
Luzern,H8,2019,Günstigstes Produkt,19.53084444444444,8.38711111111111,8.00502222222222,0.838711111111111,2.3
Jura,C7,2022,Günstigstes Produkt,15.57687672533333,4.580800743111111,8.696075982222222,0,2.3
Schwyz,C2,2021,Günstigstes Produkt,19.92005555555556,8.7725,7.59755555555556,1.24,2.3
Obwalden,H8,2019,Günstigstes Produkt,19.65561507936508,9.16584523809524,6.78976984126984,1.4,2.3
Tessin,C6,2018,Günstigstes Produkt,15.79466666666666,5.69433333333333,6.45033333333333,1.35,2.3
Thurgau,C6,2021,Günstigstes Produkt,14.03488888888889,5.02577777777778,6.35,0.2,2.3
Basel-Landschaft,H3,2018,Günstigstes Produkt,19.47933333333334,8.83519047619048,7.64414285714286,0.7,2.3
Glarus,H7,2023,Günstigstes Produkt,29.91533516483516,12.30852197802198,15.00681318681319,0.3,2.3
Neuenburg,H7,2020,Günstigstes Produkt,18.6424,6.39647692307692,8.34592307692308,1.6,2.3
Graubünden,C7,2018,Günstigstes Produkt,17.4894503454442,6.09532840599867,7.221059825454545,2,2.3
Obwalden,C7,2019,Günstigstes Produkt,13.52007334560624,4.40032,5.91975334560624,0.9,2.3
Basel-Landschaft,C7,2022,Günstigstes Produkt,13.05122556,3.8499985,6.68122706,0.22,2.3
Uri,H3,2023,Günstigstes Produkt,27.26955555555556,10.41444444444445,13.55511111111111,1,2.3
Bern,C7,2025,Günstigstes Produkt,18.34301477688889,6.042938794666667,9.996075982222223,0.004,2.3
Jura,C7,2019,Günstigstes Produkt,14.32415400492257,4.72444585199482,7.29970815292775,0,2.3
Appenzell Innerrhoden,H8,2021,Günstigstes Produkt,18.09021626984126,8.06012301587301,7.73009325396825,0,2.3
Obwalden,C7,2025,Günstigstes Produkt,18.41827429333333,5.86288,9.355394293333333,0.9,2.3
Zürich,C6,2018,Günstigstes Produkt,14.07855555555555,5.84644444444444,5.72211111111111,0.21,2.3
Appenzell Innerrhoden,H8,2024,Günstigstes Produkt,30.03233452380952,10.99018650793651,16.74214801587302,0,2.3
Thurgau,H8,2023,Günstigstes Produkt,22.95568888888889,9.98868253968254,9.8,0.2,2.3
Luzern,H8,2023,Günstigstes Produkt,28.15063555555556,8.994844444444444,15.95631111111111,0.89948,2.3
Tessin,C6,2021,Günstigstes Produkt,16.09333333333333,5.443,6.90033333333333,1.45,2.3
Appenzell Ausserrhoden,H8,2019,Günstigstes Produkt,16.33020436507936,7.42011111111111,6.61009325396825,0,2.3
Genf,H8,2020,Günstigstes Produkt,19.48147142857142,8.84661428571428,8.33485714285714,0,2.3
Zürich,C6,2023,Günstigstes Produkt,19.50666666666667,7.278533333333334,7.778133333333333,2.15,2.3
Wallis,H7,2018,Günstigstes Produkt,14.72123076923077,6.37015384615385,5.29107692307692,0.76,2.3
Zürich,C6,2022,Günstigstes Produkt,15.32297777777778,5.6668,6.613977777777778,0.21,2.3
Basel-Landschaft,H3,2023,Günstigstes Produkt,24.04523809523809,11.47071428571429,9.93452380952381,0.34,2.3
Obwalden,C7,2022,Günstigstes Produkt,13.63575347555556,4.016,6.419753475555556,0.9,2.3
Zug,H3,2021,Günstigstes Produkt,17.0312380952381,8.02457142857143,6.70666666666667,0,2.3
Solothurn,C6,2020,Günstigstes Produkt,15.8362,5.04812,8.4166,0.02,2.3
St. Gallen,C6,2019,Günstigstes Produkt,13.66715111111111,4.84232222222222,6.32588926544929,0.2,2.3
Appenzell Innerrhoden,H8,2023,Günstigstes Produkt,24.80025595238095,8.660162698412698,13.84009325396825,0,2.3
Uri,H3,2019,Günstigstes Produkt,20.25644444444447,10.1177777777778,6.83866666666667,1,2.3
Uri,H3,2024,Günstigstes Produkt,28.75955555555555,11.90444444444444,13.55511111111111,1,2.3
Appenzell Ausserrhoden,H8,2021,Günstigstes Produkt,18.09021626984126,8.06012301587301,7.73009325396825,0,2.3
Glarus,C2,2019,Günstigstes Produkt,22.05285,12.1415,7.31135,0.3,2.3
Basel-Landschaft,H3,2022,Günstigstes Produkt,20.27590476190476,9.574333333333334,7.901571428571429,0.5,2.3
Tessin,H8,2020,Günstigstes Produkt,18.81663333333333,7.31353333333333,6.9931,2.21,2.3
Thurgau,C7,2021,Günstigstes Produkt,13.23675892626535,4.24627062456866,6.24,0.26,2.3
Genf,H8,2018,Günstigstes Produkt,19.53842857142857,8.90357142857143,8.33485714285714,0,2.3
Glarus,C7,2022,Günstigstes Produkt,13.57615485666667,4.02238605,6.953768806666667,0.3,2.3
Wallis,C2,2018,Günstigstes Produkt,15.59753333333333,7.14553333333333,5.292,0.86,2.3
Glarus,C2,2025,Günstigstes Produkt,30.29198333333333,14.79198333333333,12.2,1,2.3
Glarus,C7,2023,Günstigstes Produkt,21.80619008333333,5.74865247,13.45753761333333,0.3,2.3
Obwalden,C7,2023,Günstigstes Produkt,22.06440490666667,4.316,14.54840490666667,0.9,2.3
Basel-Stadt,H3,2018,Günstigstes Produkt,24.9831,8.01904761904762,7.57952380952381,7.08452857142857,2.3
Solothurn,C6,2025,Günstigstes Produkt,20.47656,7.06676,10.3598,0.6,2.3
Schaffhausen,C2,2024,Günstigstes Produkt,29.23516166666667,14.68516166666667,12.25,0,2.3
Appenzell Ausserrhoden,C2,2022,Günstigstes Produkt,19.04445,8.268141666666667,8.476308333333334,0,2.3
Glarus,H8,2020,Günstigstes Produkt,21.23560714285716,11.6289523809524,7.00665476190476,0.3,2.3
Solothurn,C7,2019,Günstigstes Produkt,14.59559950285984,4.31813853510651,7.97746096775333,0,2.3
St. Gallen,H3,2023,Günstigstes Produkt,25.36523809523809,9.065396825396826,13.39984126984127,1,2.3
Glarus,H8,2018,Günstigstes Produkt,18.92428571428572,9.77214285714286,5.75214285714286,0.3,2.3
Jura,H7,2018,Günstigstes Produkt,20.54167307692308,9.12736538461538,8.26815384615385,0.846153846153846,2.3
Jura,H8,2021,Günstigstes Produkt,23.88,11.34,8.74,1.5,2.3
Jura,H8,2018,Günstigstes Produkt,25.14502222222219,11.9343333333333,9.41068888888889,1.5,2.3
Appenzell Innerrhoden,C6,2020,Günstigstes Produkt,13.85007444444444,5.20274444444444,6.34733,0,2.3
Bern,C6,2024,Günstigstes Produkt,21.41656,8.23676,10.8598,0.02,2.3
Waadt,H7,2020,Günstigstes Produkt,18.09720879120879,7.16512087912088,7.73208791208791,0.9,2.3
Bern,C7,2021,Günstigstes Produkt,14.24415400492257,4.64444585199482,7.29970815292775,0,2.3
Genf,C7,2019,Günstigstes Produkt,12.84617664436456,3.89981052981318,6.64636611455138,0,2.3
Neuenburg,C7,2022,Günstigstes Produkt,14.99322709944444,4.519002772888889,7.615297100388888,1.2,2.3
Wallis,H8,2022,Günstigstes Produkt,18.03,6.92,7.98,0.83,2.3
Jura,C7,2018,Günstigstes Produkt,14.43327400492257,4.83356585199482,7.29970815292775,0,2.3
Schaffhausen,C7,2022,Günstigstes Produkt,12.61857178266667,4.168037608888889,6.150534173777777,0,2.3
Jura,C7,2020,Günstigstes Produkt,14.24415400492257,4.64444585199482,7.29970815292775,0,2.3
Zug,C2,2020,Günstigstes Produkt,18.3921,7.7416,8.3505,0,2.3
Glarus,H8,2022,Günstigstes Produkt,21.41938095238095,11.22895238095238,7.590428571428571,0.3,2.3
Glarus,H8,2023,Günstigstes Produkt,30.98082142857143,13.24677380952381,15.13404761904762,0.3,2.3
Uri,H7,2023,Günstigstes Produkt,26.23338461538462,9.097692307692308,13.83569230769231,1,2.3
Appenzell Ausserrhoden,C6,2024,Günstigstes Produkt,24.87329666666667,7.199272222222223,15.37402444444444,0,2.3
Neuenburg,C7,2018,Günstigstes Produkt,14.23311728861957,3.89548412584622,6.54763316277335,1.49,2.3
Neuenburg,H8,2019,Günstigstes Produkt,20.85861904761905,8.996,7.82813095238095,1.5,2.3
Glarus,H8,2019,Günstigstes Produkt,21.66082142857146,12.0541666666667,7.00665476190476,0.3,2.3
Appenzell Innerrhoden,C7,2025,Günstigstes Produkt,21.25633644,5.253401955555556,13.70293448444444,0,2.3
Graubünden,C2,2021,Günstigstes Produkt,18.9,7.00631111111111,7.8,0.95,2.3
Freiburg,H8,2022,Günstigstes Produkt,19.69137444444445,8.403013333333334,8.98836111111111,0,2.3
Glarus,H8,2021,Günstigstes Produkt,20.61938095238097,11.4289523809524,6.59042857142857,0.3,2.3
Neuenburg,C7,2023,Günstigstes Produkt,18.769552637,3.761292767555556,11.90825986944444,0.8,2.3
Neuenburg,H8,2018,Günstigstes Produkt,20.62660416666667,9.25641964285714,7.37018452380953,1.7,2.3
Graubünden,C7,2025,Günstigstes Produkt,25.15112,8.90112,11.95,2,2.3
St. Gallen,C7,2022,Günstigstes Produkt,13.27870971333333,4.294864584666667,6.587688066666667,0.2,2.3
Aargau,H8,2022,Günstigstes Produkt,19.13720238095238,8.530547619047619,7.806654761904761,0.5,2.3
Obwalden,H8,2023,Günstigstes Produkt,28.22985317460317,9.88104365079365,14.64880952380952,1.4,2.3
Schaffhausen,H7,2018,Günstigstes Produkt,16.35153846153847,8.25527472527473,5.79626373626374,0,2.3
Aargau,H8,2023,Günstigstes Produkt,24.05383095238095,9.23054761904762,11.99708333333333,0.5262,2.3
Tessin,C6,2024,Günstigstes Produkt,27.06166666666667,9.231333333333334,14.20033333333333,1.33,2.3
Aargau,H8,2020,Günstigstes Produkt,20.44240214285714,8.18634523809524,9.47447619047619,0.481580714285714,2.3
Schwyz,H8,2023,Günstigstes Produkt,24.01423333333333,9.71302380952381,10.99813333333333,0.85,2.3
Obwalden,C2,2024,Günstigstes Produkt,27.79703333333334,11.07612,13.02091333333333,1.4,2.3
Thurgau,C7,2024,Günstigstes Produkt,23.93176,6.844488066666667,14.2,0.15,2.3
Waadt,H7,2018,Günstigstes Produkt,18.56779120879121,7.4357032967033,7.73208791208791,0.9,2.3
Zürich,H7,2024,Günstigstes Produkt,22.18617582417582,11.03578021978022,6.300395604395605,2.55,2.3
Schwyz,C7,2022,Günstigstes Produkt,14.118772352,4.9182,6.050572352,0.85,2.3
Waadt,C7,2022,Günstigstes Produkt,16.72828982222222,4.250035844444445,7.608253977777777,1.32,2.3
Basel-Landschaft,H8,2024,Günstigstes Produkt,30.08129761904762,15.11442261904762,12.326875,0.34,2.3
Jura,H7,2024,Günstigstes Produkt,24.78392323076923,11.53423076923077,10.10353846153846,0.846154,2.3
Bern,C2,2020,Günstigstes Produkt,22.63953333333333,10.2,9.19482222222222,1,2.3
Jura,C2,2023,Günstigstes Produkt,21.11,9.46,8.35,1,2.3
Neuenburg,C7,2025,Günstigstes Produkt,19.69154154666667,6.745465564444444,9.996075982222223,0.65,2.3
Solothurn,H8,2025,Günstigstes Produkt,28.45357142857143,12.4,13.3,1.1,2.3
Appenzell Ausserrhoden,H8,2022,Günstigstes Produkt,18.53022619047619,8.510132936507937,7.720093253968254,0,2.3
Thurgau,H8,2022,Günstigstes Produkt,18.74508333333333,8.75,7.163309523809524,0.2,2.3
Appenzell Innerrhoden,C7,2023,Günstigstes Produkt,19.83585827555556,4.909445644444444,12.62641263111111,0,2.3
Zürich,C6,2024,Günstigstes Produkt,22.00493333333333,9.1768,7.978133333333333,2.55,2.3
Thurgau,C6,2023,Günstigstes Produkt,17.50844444444444,5.676,9.7,0.15,2.3
Tessin,C2,2019,Günstigstes Produkt,18.65,6.98,7.2,2.17,2.3
Neuenburg,C7,2020,Günstigstes Produkt,14.94315348061307,3.40489369951211,8.43825978110096,0.8,2.3
St. Gallen,C6,2018,Günstigstes Produkt,12.48335444444445,4.27186666666667,4.67061,0.2,2.3
Solothurn,H8,2021,Günstigstes Produkt,20.62,8.58,8.265625,1.0156,2.3
Tessin,C2,2022,Günstigstes Produkt,19.425,7.185,7.75,2.19,2.3
Solothurn,H8,2022,Günstigstes Produkt,21.715,10.3,8.265625,0.55,2.3
Freiburg,H8,2019,Günstigstes Produkt,19.32337444444445,8.03501333333334,8.98836111111111,0,2.3
Appenzell Ausserrhoden,H8,2024,Günstigstes Produkt,30.03233452380952,10.99018650793651,16.74214801587302,0,2.3
Luzern,H8,2025,Günstigstes Produkt,19.8988,8.908,7.8,0.8908,2.3
Glarus,H8,2024,Günstigstes Produkt,32.79373015873016,15.79373015873016,13.7,1,2.3
Solothurn,C2,2019,Günstigstes Produkt,20.28341666666667,8.34479166666667,8.968625,1.0156,2.3
Uri,H8,2022,Günstigstes Produkt,20.70626666666667,10.94666666666667,6.4596,1,2.3
Freiburg,H8,2021,Günstigstes Produkt,19.69137444444444,8.40301333333333,8.98836111111111,0,2.3
Basel-Landschaft,H8,2018,Günstigstes Produkt,19.84625,8.571875,8.284375,0.69,2.3
Appenzell Innerrhoden,C7,2019,Günstigstes Produkt,12.40640133643465,4.82406402089801,5.28233731553664,0,2.3
Appenzell Innerrhoden,C7,2022,Günstigstes Produkt,13.03172846666667,4.178755155555556,6.552973311111111,0,2.3
Glarus,H8,2025,Günstigstes Produkt,30.56810317460317,15.06810317460318,12.2,1,2.3
Solothurn,C6,2019,Günstigstes Produkt,15.69596,4.97936,8.4166,0.02,2.3
Schaffhausen,H8,2020,Günstigstes Produkt,19.56146111111109,10.4745476190476,6.78691349206349,0,2.3
Tessin,H8,2023,Günstigstes Produkt,26.44923333333333,8.647,13.37223333333333,2.13,2.3
Zürich,C2,2023,Günstigstes Produkt,24.07725,11.83005,7.7972,2.15,2.3
Schaffhausen,H8,2019,Günstigstes Produkt,19.24551269841268,10.5545476190476,6.39096507936508,0,2.3
Thurgau,C7,2023,Günstigstes Produkt,15.58096,4.929903964444445,7.6,0.15,2.3
Glarus,C7,2020,Günstigstes Produkt,13.09123011691236,4.22238607014742,6.26884404676494,0.3,2.3
St. Gallen,C7,2025,Günstigstes Produkt,21.45633644,5.253401955555556,13.70293448444444,0,2.3
Jura,C7,2025,Günstigstes Produkt,18.54301477688889,6.042938794666667,9.996075982222223,0.204,2.3
Basel-Landschaft,C2,2024,Günstigstes Produkt,30.472,15.153,12.679,0.34,2.3
Glarus,C7,2025,Günstigstes Produkt,20.24267599111111,5.742675991111111,11.2,1,2.3
Obwalden,C7,2024,Günstigstes Produkt,22.06440490666667,6.35816,12.50624490666667,0.9,2.3
Aargau,H7,2024,Günstigstes Produkt,31.83076923076923,10.76538461538462,17.41370879120879,0.65,2.3
Appenzell Innerrhoden,C7,2018,Günstigstes Produkt,10.56357663789017,3.68445046796862,4.57912616992155,0,2.3
Wallis,C6,2023,Günstigstes Produkt,23.77021111111111,4.104,16.87621111111111,0.49,2.3
Tessin,C6,2025,Günstigstes Produkt,21.77033333333333,7.69,10.35033333333333,1.43,2.3
Obwalden,H8,2021,Günstigstes Produkt,19.63465476190476,9.08584523809524,6.84880952380952,1.4,2.3
Waadt,C2,2022,Günstigstes Produkt,22.78821444444445,9.354503333333334,8.85,2.57,2.3
Neuenburg,H8,2021,Günstigstes Produkt,20.37880952380953,9.2304880952381,7.34832142857143,1.5,2.3
Zürich,H7,2020,Günstigstes Produkt,16.64295604395604,7.16242307692308,6.85282967032967,0.32,2.3
Tessin,H8,2022,Günstigstes Produkt,19.57183333333333,7.655266666666667,7.426566666666667,2.19,2.3
Obwalden,H8,2018,Günstigstes Produkt,20.60606111111108,10.1083833333333,6.79767777777778,1.4,2.3
Basel-Landschaft,C7,2024,Günstigstes Produkt,20.9098746,6.80440928,11.46546532,0.34,2.3
Freiburg,C7,2023,Günstigstes Produkt,17.969552637,3.761292767555556,11.90825986944444,0,2.3
Waadt,C2,2018,Günstigstes Produkt,20.46,8.66,8.6,0.9,2.3
Zürich,H7,2018,Günstigstes Produkt,15.53849725274725,8.01603296703297,5.6909010989011,0.32,2.3
Obwalden,C6,2024,Günstigstes Produkt,23.04533333333333,6.9188,12.92653333333333,0.9,2.3
Freiburg,H8,2024,Günstigstes Produkt,30.93728555555555,11.15301333333333,17.48427222222222,0,2.3
Basel-Landschaft,H8,2022,Günstigstes Produkt,20.5675,9.511875,8.265625,0.49,2.3
Schaffhausen,H7,2019,Günstigstes Produkt,16.45582417582418,7.97527472527473,6.18054945054945,0,2.3
Obwalden,H8,2022,Günstigstes Produkt,19.63465476190476,9.085845238095239,6.848809523809524,1.4,2.3
Glarus,C2,2022,Günstigstes Produkt,21.5862,11.2368,7.7494,0.3,2.3
Uri,H8,2025,Günstigstes Produkt,27.6238,11.04213333333333,13.28166666666667,1,2.3
Waadt,H8,2020,Günstigstes Produkt,20.38147142857142,8.84661428571428,8.33485714285714,0.9,2.3
St. Gallen,C7,2024,Günstigstes Produkt,23.82434732,6.512485644444444,15.01186167555556,0.2,2.3
St. Gallen,C6,2021,Günstigstes Produkt,13.85650666666667,4.44421666666667,6.62147777777778,0.2,2.3
Schaffhausen,C7,2020,Günstigstes Produkt,12.32124468851001,4.33770899419323,5.68353569431678,0,2.3
Glarus,C7,2019,Günstigstes Produkt,12.75531452158885,4.38647047482391,5.76884404676494,0.3,2.3
Jura,C2,2018,Günstigstes Produkt,25.02869277777774,12.5036983333333,9.22499444444444,1,2.3
Appenzell Ausserrhoden,C2,2019,Günstigstes Produkt,16.66744166666667,7.00113333333333,7.36630833333334,0,2.3
Glarus,C7,2021,Günstigstes Produkt,12.77615487950041,4.22238607014742,5.95376880935299,0.3,2.3
Zug,H7,2025,Günstigstes Produkt,25.40692307692308,9.756923076923076,13.35,0,2.3
Thurgau,H8,2020,Günstigstes Produkt,17.33171428571429,8.75,6.81330952380952,0.31,2.3
Waadt,H8,2023,Günstigstes Produkt,24.78728555555556,8.903013333333334,12.68427222222222,0.9,2.3
Zürich,C7,2023,Günstigstes Produkt,17.70378416666667,6.244758513333333,7.009025653333333,2.15,2.3
Schaffhausen,H8,2023,Günstigstes Produkt,23.28438492063492,11.43251984126984,9.55186507936508,0,2.3
St. Gallen,C7,2019,Günstigstes Produkt,13.02750894964782,3.962428935937235,6.137617526096955,0.2,2.3
Solothurn,C7,2022,Günstigstes Produkt,15.35859758,4.46481676,7.85083992,0.015,2.3
Graubünden,C2,2022,Günstigstes Produkt,19.5483,7.64,7.65,0.8,2.3
Schwyz,C7,2019,Günstigstes Produkt,13.9943074080697,5.29359561727108,5.62997622019321,0.85,2.3
Tessin,C6,2022,Günstigstes Produkt,16.53766666666667,5.397333333333333,7.450333333333333,1.39,2.3
Tessin,C6,2023,Günstigstes Produkt,23.67766666666667,6.547333333333333,13.50033333333333,1.33,2.3
Luzern,C2,2020,Günstigstes Produkt,13.46726111111112,7.65644444444445,2.74517222222222,0.765644444444445,2.3
St. Gallen,C7,2021,Günstigstes Produkt,13.11470014029483,3.90476247841762,6.55786888050743,0.2,2.3
Bern,C6,2023,Günstigstes Produkt,17.56823,6.18843,9.0598,0.02,2.3
Zug,C7,2022,Günstigstes Produkt,15.92810718888889,6.378553371111111,6.779553817777778,0.47,2.3
Glarus,C7,2018,Günstigstes Produkt,12.48877070864863,3.87570642805897,5.21306428058966,0.3,2.3
Luzern,C7,2018,Günstigstes Produkt,12.86678358725514,4.85146237575298,5.35146153332069,0.363859678181473,2.3
Luzern,H8,2022,Günstigstes Produkt,19.99115555555555,8.394844444444445,8.456311111111111,0.84,2.3
Appenzell Ausserrhoden,C6,2021,Günstigstes Produkt,13.44838166666667,4.44421666666667,6.704165,0,2.3
Wallis,H8,2023,Günstigstes Produkt,29.34,7.82,18.28,0.94,2.3
Wallis,C6,2025,Günstigstes Produkt,21.74612222222222,4.502,14.43412222222222,0.51,2.3
Glarus,C7,2024,Günstigstes Produkt,23.16361398666667,7.363613986666667,12.5,1,2.3
Wallis,H8,2024,Günstigstes Produkt,26.589,11.3,12.08,0.909,2.3
Appenzell Ausserrhoden,H8,2025,Günstigstes Produkt,27.95030952380952,10.66021031746032,14.99009920634921,0,2.3
Obwalden,C6,2019,Günstigstes Produkt,14.43317777777778,4.9728,6.26037777777778,0.9,2.3
Zürich,H3,2025,Günstigstes Produkt,20.84390476190476,9.800952380952381,6.192952380952381,2.55,2.3
Uri,H8,2018,Günstigstes Produkt,21.88540000000003,10.9566666666667,7.62873333333333,1,2.3
Schaffhausen,H8,2024,Günstigstes Produkt,28.97158968253968,14.42158968253968,12.25,0,2.3
Aargau,H8,2025,Günstigstes Produkt,28.57,12.04,15.9,0.75,2.3
Zürich,H7,2021,Günstigstes Produkt,17.04332087912088,7.73753846153846,6.7747,0.32,2.3
Uri,H8,2021,Günstigstes Produkt,20.7062666666667,10.9466666666667,6.4596,1,2.3
Tessin,C7,2021,Günstigstes Produkt,14.98939075648042,4.89657655824817,6.66281419823225,1.13,2.3
Zug,C2,2025,Günstigstes Produkt,27.64723611111111,11.99723611111111,13.35,0,2.3
Basel-Landschaft,C7,2023,Günstigstes Produkt,16.29688974,4.72605812,8.93083162,0.34,2.3
Appenzell Ausserrhoden,H3,2024,Günstigstes Produkt,29.62638095238095,11.28301587301587,16.04336507936508,0,2.3
Graubünden,C2,2023,Günstigstes Produkt,23.46,8.56,10.6,0.95,2.3
Graubünden,C7,2023,Günstigstes Produkt,22.37038944,7.62038944,10.45,1.7,2.3
Zürich,H3,2021,Günstigstes Produkt,17.80380952380952,8.87111111111111,6.68977777777778,0.32,2.3
Freiburg,C7,2025,Günstigstes Produkt,19.98454464,5.446653333333333,12.23789130666667,0,2.3
Appenzell Innerrhoden,H8,2022,Günstigstes Produkt,18.53022619047619,8.510132936507937,7.720093253968254,0,2.3
Solothurn,C7,2025,Günstigstes Produkt,19.08901477688889,6.042938794666667,9.996075982222223,0.6,2.3
Luzern,C2,2021,Günstigstes Produkt,17.31706666666668,7.65644444444445,6.59497777777778,0.765644444444445,2.3
Obwalden,H3,2020,Günstigstes Produkt,19.9247619047619,9.71523809523809,6.50952380952381,1.4,2.3
Graubünden,C6,2024,Günstigstes Produkt,25.9864,10.0864,13.6,2,2.3
Solothurn,C6,2021,Günstigstes Produkt,15.8162,5.0996,8.4166,0.02,2.3
Appenzell Ausserrhoden,H8,2020,Günstigstes Produkt,16.83020039682539,7.30010714285714,7.23009325396825,0,2.3
Wallis,C7,2025,Günstigstes Produkt,20.71078368,3.78568,14.19510368,0.43,2.3
Obwalden,H3,2025,Günstigstes Produkt,25.97860317460318,13.07193650793651,9.206666666666667,1.4,2.3
Uri,C7,2019,Günstigstes Produkt,10.91274698685355,3.80544489191134,4.50730209494221,0.3,2.3
Solothurn,C6,2023,Günstigstes Produkt,18.29823,6.18843,9.0598,0.3,2.3
Luzern,C7,2021,Günstigstes Produkt,10.96688662625496,3.32048,5.09737062625496,0.249036,2.3
Neuenburg,H8,2020,Günstigstes Produkt,21.29137444444444,8.40301333333333,8.98836111111111,1.6,2.3
Zürich,H3,2023,Günstigstes Produkt,18.93619047619048,8.793238095238095,5.692952380952381,2.15,2.3
Luzern,H8,2018,Günstigstes Produkt,21.67008,9.99857777777778,8.37164444444444,0.999857777777778,2.3
Neuenburg,H7,2024,Günstigstes Produkt,29.68528461538461,9.146476923076923,16.63880769230769,1.6,2.3
Glarus,H7,2020,Günstigstes Produkt,20.20829120879117,10.747956043956,6.86033516483517,0.3,2.3
Basel-Landschaft,C7,2020,Günstigstes Produkt,12.40617385946257,3.42627712587003,6.47680783359254,0.2030889,2.3
Solothurn,C7,2023,Günstigstes Produkt,16.99786721066667,5.251791228444445,8.696075982222222,0.3,2.3
Zürich,C7,2019,Günstigstes Produkt,12.8907978525307,5.10808809352989,5.80653214029483,0.2,2.3
Zürich,C7,2022,Günstigstes Produkt,14.50054604266667,4.94153247,6.485426782666667,0.2,2.3
Jura,H8,2022,Günstigstes Produkt,22.84,10.3,8.74,1.5,2.3
Thurgau,H8,2021,Günstigstes Produkt,17.36836904761905,8.75,6.81330952380952,0.26,2.3
Uri,H8,2020,Günstigstes Produkt,21.4962666666667,10.9466666666667,7.2496,1,2.3
Graubünden,C7,2022,Günstigstes Produkt,18.32910944,6.52910944,7.5,0.8,2.3
Jura,H8,2019,Günstigstes Produkt,23.96,11.42,8.74,1.5,2.3
Obwalden,C2,2020,Günstigstes Produkt,19.33336666666667,8.4699,7.16346666666667,1.4,2.3
Schwyz,H8,2024,Günstigstes Produkt,28.28293333333333,12.16857777777778,12.87473333333333,1.24,2.3
Basel-Landschaft,C7,2021,Günstigstes Produkt,12.40617385946257,3.42627712587003,6.47680783359254,0.2030889,2.3
Tessin,H8,2025,Günstigstes Produkt,25.63603333333333,10.7586,10.34743333333333,2.23,2.3
Zürich,H3,2024,Günstigstes Produkt,21.2092380952381,10.46628571428571,5.892952380952381,2.55,2.3
Genf,H8,2019,Günstigstes Produkt,19.51538571428571,8.88052857142857,8.33485714285714,0,2.3
Freiburg,C7,2022,Günstigstes Produkt,14.29315360366667,3.554893734222222,8.438259869444444,0,2.3
Luzern,C7,2022,Günstigstes Produkt,13.58909616444445,3.77912,7.129976164444445,0.38,2.3
Schaffhausen,C2,2023,Günstigstes Produkt,23.49295833333333,11.493875,9.699083333333334,0,2.3
Appenzell Ausserrhoden,H3,2019,Günstigstes Produkt,16.53873015873016,8.06888888888889,6.16984126984127,0,2.3
Appenzell Ausserrhoden,H3,2018,Günstigstes Produkt,15.86809523809524,8.18825396825397,5.37984126984127,0,2.3
Uri,C7,2021,Günstigstes Produkt,10.56274698685355,3.72544489191134,4.23730209494221,0.3,2.3
Appenzell Ausserrhoden,H3,2020,Günstigstes Produkt,17.05746031746032,7.96761904761905,6.78984126984127,0,2.3
